date,total_pnl,trade_count,avg_pnl,total_volume,avg_trade_size,total_fees,unique_accounts,unique_coins,pnl_buy,pnl_sell,volume_buy,volume_sell,buy_sell_ratio
2024-06-21,773.56,80,9.67,176264.49,2203.31,61.28,2,3,151239.62,25024.87,773.5582039999999,0.0,773558.2039999999
2024-06-22,756.88,24,31.54,169594.27,7066.43,40.53,2,2,93000.1,76594.17,0.0,756.876565,0.0
2024-06-23,0.0,5,0.0,1792.12,358.42,0.18,1,1,0.0,1792.12,0.0,0.0,0.0
2024-06-24,0.0,31,0.0,403002.8,13000.09,103.55,2,2,402007.20999999996,995.5899999999999,0.0,0.0,0.0
2024-06-25,4869.35,49,99.37,103099.08,2104.06,36.08,1,2,52649.76,50449.32,4869.353105,0.0,4869353.105
2024-06-26,4197.73,72,58.3,365190.66,5072.09,127.55,2,2,995.8199999999999,364194.84,0.0,4197.732182,0.0
2024-06-27,0.0,30,0.0,130486.95,4349.56,45.56,2,3,499.59,129987.36,0.0,0.0,0.0
2024-06-29,6150.33,75,82.0,280095.11,3734.6,460.3,2,5,247500.25999999998,32594.85,5957.231192,193.094953,30.85114472595912
2024-06-30,0.0,14,0.0,30520.69,2180.05,17.06,2,4,30162.32,358.37,0.0,0.0,0.0
2024-07-01,5065.84,64,79.15,362670.15,5666.72,425.32,2,5,18397.62,344272.52999999997,0.0,5065.839308,0.0
2024-07-02,2421.25,18,134.51,33347.47,1852.64,11.46,1,2,32849.02,498.45,2399.053116,22.2,108.06058808161795
2024-07-03,1118.39,18,62.13,179600.66,9977.81,62.63,2,2,179600.66,0.0,1118.387284,0.0,1118387.284
2024-07-04,0.0,25,0.0,430568.01,17222.72,113.02,2,2,430568.01,0.0,0.0,0.0,0.0
2024-07-05,0.0,32,0.0,272289.89,8509.06,95.13,2,3,272289.89,0.0,0.0,0.0,0.0
2024-07-06,108.87,24,4.54,2490.17,103.76,344.35,1,3,873.4300000000001,1616.7399999999998,0.0,108.87217799999999,0.0
2024-07-07,61.43,10,6.14,498.75,49.88,0.05,1,1,0.0,498.75,0.0,61.428942,0.0
2024-07-08,0.0,1,0.0,497.64,497.64,0.02,1,1,497.64,0.0,0.0,0.0,0.0
2024-07-09,648.98,15,43.27,2736.45,182.43,0.4,1,1,0.0,2736.45,0.0,648.984412,0.0
2024-07-10,11977.73,56,213.89,687900.21,12283.93,240.77,2,3,60003.340000000004,627896.87,0.0,11977.734907,0.0
2024-07-11,1876.81,19,98.78,169887.02,8941.42,59.46,1,1,84005.88,85881.14,0.0,1876.812082,0.0
2024-07-12,1412.31,19,74.33,89582.97,4714.89,31.35,2,2,89582.97,0.0,1412.314654,0.0,1412314.654
2024-07-13,2913.62,17,171.39,139189.19,8187.6,48.72,2,2,0.0,139189.19,0.0,2913.617837,0.0
2024-07-14,0.0,7,0.0,84001.13,12000.16,29.4,1,1,0.0,84001.13,0.0,0.0,0.0
2024-07-15,-1.0,26,-0.04,198344.85,7628.65,69.0,2,2,15176.0,183168.85,-1.0,0.0,-1000.0
2024-07-16,0.0,22,0.0,144000.57,6545.48,50.4,1,1,0.0,144000.57,0.0,0.0,0.0
2024-07-17,1859.27,351,5.3,626005.53,1783.49,206.6,3,3,214452.88,411552.65,1859.269477,0.0,1859269.477
2024-07-18,3803.88,60,63.4,649704.85,10828.41,227.4,2,2,649704.85,0.0,3803.884311,0.0,3803884.3109999998
2024-07-19,2155.89,23,93.73,150269.42,6533.45,52.59,2,3,999.73,149269.69,0.0,2155.891114,0.0
2024-07-20,2299.17,266,8.64,244362.21,918.65,80.76,2,5,129467.37000000001,114894.84,2299.169566,0.0,2299169.566
2024-07-21,-2960.72,448,-6.61,234307.46,523.01,64.72,2,4,128967.69,105339.77,-2960.716887,0.0,-2960716.887
2024-07-22,1517.12,154,9.85,304213.8,1975.41,97.46,2,3,150754.78,153459.02,201.86897600000003,1315.2509,0.1534831282129302
2024-07-23,89890.3,370,242.95,358526.54,968.99,59.24,3,3,109979.58,248546.96,1805.309858,88084.992348,0.020495089905583675
2024-07-24,625.56,90,6.95,69207.93,768.98,55.07,5,27,58104.34,11103.59,625.561479,0.0,625561.4789999999
2024-07-25,916.74,78,11.75,528555.31,6776.35,224.19,3,4,528554.37,0.94,916.7382600000001,0.0,916738.26
2024-07-26,2766.51,152,18.2,548587.65,3609.13,206.57,4,4,220488.86,328098.79,341.250124,2425.262989,0.14070638311860903
2024-07-27,6400.62,57,112.29,905199.75,15880.7,316.82,2,3,112007.31,793192.44,0.0,6400.623656,0.0
2024-07-28,587.3,16,36.71,43254.68,2703.42,15.14,2,2,40755.82,2498.86,587.29903,0.0,587299.03
2024-07-29,330.8,39,8.48,327199.14,8389.72,114.52,2,2,162007.55,165191.59,201.074835,129.729619,1.549941228600782
